flid;ord;ordflokkur;texti;fjoldi_risamalheild;fjoldi_ritmalssafn
15697;glannalegur;adj;óvarkár, glæfralegur;62;0
8397;dós;n;eitthvað frábært;3977;0
7077;brókarsótt;n;það þegar kona sækir mikið í kynlíf;32;0
13679;frjó;n;frjókorn;1175;0
58344;rúnaáletrun;n;það sem letrað er á e-ð (minnisvarða, minjagrip eða annað) með rúnaletri;3;3
47056;þjappa;v;minnka rými sem gögn taka með sérstöku forriti;2626;0
7983;dáfallegur;adj;ekki fallegur, slæmur;3;0
13773;frumburður;n;fyrsta barn;863;0
42528;túpera;v;ýfa hár með greiðu til að lyfta því;18;4
36978;skólauppsögn;n;athöfn í skóla þar sem skólastarfi er slitið og einkunnir eru afhendar;12;4
18536;heill;n;hann komst því miður að því;13965;0
18536;heill;n;hann komst því miður að því;13965;0
18536;heill;n;hann komst því miður að því;13965;0
18536;heill;n;hann komst því miður að því;13965;0
39960;stundakennsla;n;það að kenna sem stundakennari, kennsla í stökum tímum;33;3
49601;málfræðingur;n;maður með háskólamenntun í málfræði;375;0
49343;liðagigt;n;langvarandi bólgur í liðamótum útlima;775;0
17489;halakarta;n;seiði froskdýrs, ungur froskur sem lifir í vatni og andar með tálknum;11;3
6770;breiðsíða;n;skipshlið búin fallbyssum;14;9
24215;klóra;n;áhald til að losa um mold í beðum;3704;0
6107;blóðsykur;n;glúkósi í blóði;679;5
38651;spenntur;adj;eftirvæntingarfullur, áhugasamur;15498;0
17935;haukur;n;gráleitur ránfugl af ættkvísl Accipiter;54505;1
17935;haukur;n;gráleitur ránfugl af ættkvísl Accipiter;54505;0
10890;feilnóta;n;röng nóta í tónlistarflutningi;75;1
8102;derhúfa;n;húfa með deri sem skýlir fyrir sól eða veðri;72;0
42500;tuska;n;ónýt eða óásjáleg flík;968;0
42500;tuska;n;vesæll eða tilkomulítill maður;968;0
9354;eggjun;n;það að eggja, hvatning, brýning;16;8
33105;remma;n;rammt bragð;2;0
33105;remma;n;römm lykt;2;0
27467;magakrampi;n;krampi í maga;17;5
24215;klóra;n;áhald til að klóra hestum og kúm;3704;0
17677;handleggur;n;annar tveggja útlima manns (apa o.fl.) út frá öxl að úlnlið eða hönd;1094;0
24218;klóróform;n;efni í vökvaformi (CHCl3) sem var áður notað til svæfinga;47;0
27193;lyktnæmi;n;það að vera næmur á lykt;6;0
12102;fljótaskrift;n;sérstök gerð skriftar sem barst til Norðurlanda frá Þýskalandi á 17. öld;298;0
16361;grasrækt;n;það að rækta gras;71;0
41958;tjaldhæll;n;spýta eða málmstautur með sérstöku lagi, rekinn í jörðina til að halda tjaldi föstu;4;3
58370;lestarræningi;n;sá eða sú sem rænir lest;5;2
35496;símbréf;n;bréf sem kemur um faxtæki, fax;461;1
39276;steypuhrærivél;n;vél með sívölum járngeymi eða belg sem snýst og hrærir steinsteypu;78;7
40504;svefnpoki;n;hlýr poki til að sofa í, t.d. í tjaldi;104;0
6939;bris;n;briskirtill;164;0
2846;akarn;n;hneta eikartrésins;10;0
20118;hlutleysi;n;það að vera hlutlaus, taka ekki afstöðu;3493;0
7190;brúnklukka;n;brunnklukka;2;0
10368;eyri;n;vinna sem hafnarverkamaður, t.d. við uppskipun;3071;0
13637;frímínútur;n;hlé á milli kennslustunda í skóla;363;4
58289;rithöfundarferill;n;starfsferill e-s sem rithöfundar;41;3
25719;latínuletur;n;latneskt stafróf (gagnstætt t.d. grísku, kyrillísku);23;0
44329;vagnstjóri;n;ökumaður strætisvagns, strætisvagnabílstjóri;257;0
25719;latínuletur;n;það letur sem nú er notað í íslensku, latneskt letur (gagnstætt t.d. gotnesku letri);23;0
54381;ver;n;áklæði eða poki til hlífðar, t.d. utan um kodda;14179;0
54381;ver;n;áklæði eða poki til hlífðar, t.d. utan um kodda;14179;0
54381;ver;n;áklæði eða poki til hlífðar, t.d. utan um kodda;14179;0
54381;ver;n;áklæði eða poki til hlífðar, t.d. utan um kodda;14179;0
35816;sjósetja;v;setja (bát eða skip) á flot;271;3
29072;myndletur;n;letur þar sem myndir eru notaðar sem tákn eða tilvísanir;64;0
12835;forvarnir;n;fyrirbyggjandi ráðstafanir til að koma í veg fyrir óæskilega hluti;7835;2
30860;óbragð;n;mjög vont bragð;668;0
47792;þvag;n;vökvi með úrgangsefnum sem safnast í þvagblöðruna;779;0
43093;undanrenna;n;fitusnauður mjólkurdrykkur sem verður til þegar hinn fituríki hluti mjólkur er fjarlægður;156;0
8069;dekk;n;þilfar á skipi;8499;0
35591;sjálfsaflafé;n;fjármunir sem maður hefur aflað sjálfur, tekjur;601;8
47805;þvagsýra;n;úrgangsefni sem myndast í líkamanum og skilst út með þvagi;9;1
40163;stör;n;graskennd planta af ættkvísl Carex;111;0
17247;göltur;n;karldýr svínsins;73;0
26938;logndauður;adj;sem kemst ekki áfram vegna logns;2;0
41056;sökunautur;n;sá eða sú sem er grunaður um refsiverða háttsemi, sakborningur;138;0
5499;bikar;n;græn blöð sem lykja um krónublöð blóms, blómbikar;7811;0
24515;kókospálmi;n;hávaxið hitabeltistré sem ber kókoshnetur;1;0
26388;lifur;n;stórt líffæri sem gegnir mörgum hlutverkum;3216;0
28196;melóna;n;aldin plöntu af graskersætt;160;0
23962;kjálki;n;bein í höfðinu þar sem tennurnar eru;132;0
23962;kjálki;n;armur á sleða, kerru o.þ.h.;132;0
29767;neyðartilvik;n;atvik sem krefst skjótra viðbragða vegna hættuástands, slyss e.þ.h.;275;2
55908;tjaldhiminn;n;hlífðardúkur sem strengdur er yfir tjald;5;0
49737;sjötugsaldur;n;60-69 ára aldur;338;5
49737;sjötugsaldur;n;aldurinn í kringum sjötugt;338;5
42656;tvíær;adj;sem lifir í tvö ár (tvö sumur), t.d. gulrótarplöntur;43;0
8091;dengsi;n;drengur;144;3
9762;eintómur;adj;ekkert nema, helber, tómur;270;0
26452;listfræðingur;n;maður með háskólamenntun í listfræði;1364;0
30288;næla;n;skartgripur sem er nældur í föt;4133;1
30288;næla;n;skartgripur sem er nældur í föt;4133;2
52571;prettvís;adj;gjarn á að pretta eða blekkja menn;1;0
5545;birgðarýrnun;n;það að birgðir rýrna, minnka (á óútskýrðan hátt);4;1
9762;eintómur;adj;einn og sér, einn;270;0
10453;faldbúningur;n;sérstakur þjóðbúningur kvenna, notaður fram á fyrri hluta 19. aldar og endurvakinn seint á 20. öld;22;0
29464;nál;n;gras sem er að byrja að koma upp;26475;0
29464;nál;n;mjór, oddhvass málmhlutur til að sauma með, saumnál;26475;0
39839;strigaskór;n;léttir skór úr þykku bómullarefni með sóla úr gúmmíi;376;0
24360;kolefni;n;frumefnið C;1494;0
19635;hjartaprúður;adj;hugrakkur;6;0
23612;kál;n;ekki er öruggt að málalok verði eins og útlit er fyrir;797;69
10644;fasani;n;fugl, góður til matar;49;3
15199;geitungur;n;fluga sem stingur, vepsa;98;0
13820;frummaður;n;maður sem kom á undan Homo sapiens;16;0
23304;kaffistell;n;samstæðir sex eða tólf bollar með kaffikönnu, rjómakönnu og sykurkari;72;0
25848;laxerolía;n;olía notuð sem hægðalyf;30;0
45900;virkilegur;adj;raunverulegur, sannkallaður;190;0
32193;pottablóm;n;planta ræktuð í blómapotti innandyra;132;2
45059;vellingur;n;(mjólkur)grautur, einkum hrísgrjónagrautur;15;0
38701;spínat;n;matjurt, blaðgrænmeti;1334;0
48466;önugur;adj;þetta er fyrirhafnarsamt;250;0
23882;kísill;n;samband kísils og súrefnis, kísilsýra (Si02 eða H4SiO4);382;0
24299;kné;n;gjörsigra hann;1886;0
24299;kné;n;fylgja sigrinum eftir;1886;0
54293;sundmaður;n;maður sem iðkar sund, einkum í keppni;1643;0
33055;rekald;n;hlutur sem er á reki á sjónum;240;0
16588;grillkol;n;kol ætluð á útigrill;21;1
50340;steikarpanna;n;grunnt og vítt eldunarílát með skafti, notað til steikingar;18;0
20803;hreinskiptinn;adj;heiðarlegur í samskiptum;792;0
10050;endasleppur;adj;sem endar of fljótt eða án fyrirvara, snubbóttur;69;0
33055;rekald;n;sá eða sú sem hefur lítinn viljastyrk;240;0
25641;langlífi;n;það að lifa lengi;1437;0
30309;nærbrók;n;nærbuxur;30;0
26976;lopapeysa;n;peysa úr íslenskri ull, lopa, oft með útprjónuðum mynsturbekk;239;5
37635;slef;n;munnvatn sem rennur út úr munninum, einkum á ungbörnum;50;0
20387;hofróða;n;kona sem er fín með sig og vill láta stjana við sig;7;0
14008;fröken;n;ógift stúlka;1176;0
10050;endasleppur;adj;gera vel við hana, sýna henni dálæti, dekur;69;0
32103;pjása;n;kynfæri konu;9;0
12479;foli;n;ungur hestur;127;0
30092;nótt;n;dimmi tíminn milli kvölds og morguns;168978;0
30092;nótt;n;dimmi tíminn milli kvölds og morguns;168978;2
40292;sundföt;n;fatnaður til að synda í, s.s. sundskýla, sundbolur og bikiní;405;0
23624;kálmaðkur;n;lirfa sem étur kálplöntur;5;4
17672;handlaug;n;vaskur til handþvotta;189;0
21907;hvítkál;n;"matjurt af krossblómaætt, tegund grænmetis; myndar þétt höfuð úr þykkum, hvítum blöðum";447;0
3479;armstóll;n;stóll með örmum;5;11
18414;heiðlóa;n;meðalstór vaðfugl, svartur að framan en gul- og dökkflikrótt að neðan;123;4
34874;segulmagnaður;adj;með eiginleika seguls;13;0
32995;reikandi;adj;óstöðugur, skjögrandi;101;3
43891;útborgun;n;greiðsla (fastra, reglulegra) launa;4523;4
43891;útborgun;n;(fyrsta) greiðsla í afborgunarkaupum;4523;4
32995;reikandi;adj;hvikandi í afstöðu sinni, óákveðinn, stefnulaus;101;3
47856;þverslá;n;lárétt stöng í marki;1246;0
13956;fræðslufulltrúi;n;starfsmaður félags eða stofnunar sem ætlað er að fræða félagsmenn, starfsmenn eða almenning um tiltekin málefni;669;3
47856;þverslá;n;áhald í fimleikum;1246;0
47856;þverslá;n;lárétt stöng, t.d til að hindra bílaumferð;1246;0
34650;sarpur;n;magi í fugli, sá fremri af tveimur í meltingarveginum;112;0
34874;segulmagnaður;adj;áhrifamikill, aðlaðandi;13;0
17958;haustmisseri;n;kennslutímabilið frá hausti til áramóta;358;1
20245;hnetusmjör;n;þykkt mauk úr (jarð)hnetum;892;1
45114;ver;n;veiðistöð, útgerðarstaður;14179;0
45114;ver;n;veiðistöð, útgerðarstaður;14179;0
45114;ver;n;veiðistöð, útgerðarstaður;14179;0
45114;ver;n;veiðistöð, útgerðarstaður;14179;0
20762;hreifur;adj;dálítið drukkinn;35;0
49407;sinaslíður;n;hólkur úr sinavef sem umlykur vöðvasinarnar í líkamanum;3;0
20762;hreifur;adj;vera kenndur af víni;35;0
47227;þjónustustarf;n;starf þar sem þjónusta er veitt, t.d. á veitingahúsi eða hóteli;99;2
29432;náð;n;(guðs) miskunn, vægð;201423;0
43140;undirgöng;n;gangvegur neðanjarðar t.d. undir umferðargötu;834;0
51919;almyrkvaður;adj;alveg dimmur;3;11
13026;fótskemill;n;lítill, lágur kollur til að hvíla á fæturna;10;0
51919;almyrkvaður;adj;sem almyrkvi er á (sólmyrkvi eða tunglmyrkvi);3;11
46166;voða;adv;til áherslu: mjög;11146;0
20742;hrámeti;n;hrár matur, óeldaður matur;63;6
11168;fiðrildi;n;skordýr af ættbálki Lepidoptera, oft með litskrúðuga vængi;1564;0
17347;hafragrjón;n;möluð eða völsuð hafragrjón;72;0
8846;dúfa;n;fugl af ætt Columbidae;755;1
8846;dúfa;n;fugl af ætt Columbidae;755;0
6631;bragfræðingur;n;mál- eða bókmenntafræðingur sem leggur sérstaka stund á bragarhætti og aðrar reglur um form bundins máls;3;0
13902;frystihólf;n;hólf í kæliskáp þar sem hitinn er undir frostmarki;30;4
48241;ættfræðingur;n;sá eða sú sem fæst við að rekja ættir og ættartengsl;197;5
56240;tryggingariðgjald;n;reglubundin greiðsla sem greidd er til tryggingarfélags;38;7
19376;héraðshöfðingi;n;valdamikill maður í héraði sínu;90;0
50400;blómakarfa;n;karfa með blómaskreytingu í;11;4
7403;búfræðingur;n;sá eða sú sem hefur lokið prófi í landbúnaðarfræðum;1245;0
