flid;ord;ordflokkur;texti;fjoldi_risamalheild;fjoldi_ritmalssafn
3043;almannarómur;n;það sem er altalað, margir hafa fyrir satt;358;0
6871;bréfabók;n;bók með safni bréfa;79;0
9213;efniskostnaður;n;framleiðslukostnaður vegna efnis;309;3
6931;brimrót;n;mikið brim, stórsjór;43;0
13134;framfærslukostnaður;n;(meðaltals)kostnaður við framfærslu;653;0
50368;súla;n;málmstöng, t.d. til að halda uppi tjaldi;380;0
50368;súla;n;málmstöng, t.d. til að halda uppi tjaldi;380;1
16337;grasate;n;heitur drykkur af ýmsum grösum, einkum fjallagrösum;10;7
16130;gosdrykkur;n;óáfengur drykkur með gosi, kolsýru í;111;0
32384;puttaferðalag;n;ferð þar sem ferðalangur reynir að stoppa farartæki og fá far með því að setja þumalfingur út í loft;17;1
55838;hátíðarmessa;n;guðsþjónusta með hátíðlegu sniði á hátíðisdegi;1903;1
52817;byssuhlaup;n;sá hluti byssu sem skotið fer eftir, þ.e. hólkurinn;84;0
44193;útspýttur;adj;vera á ferð og flugi, unna sér ekki hvíldar;1;0
39579;stokkbólginn;adj;mikið bólginn;78;0
17364;hafsbrún;n;sjóndeildarhringur yfir hafi;94;0
17744;hann;pron;(e.k. ákvæðisorð á undan mannsnafni eða skyldleikaorði (t.d. bróðir, pabbi) sem táknar kunnugleika eða tengsl);7614917;0
47034;þingvitni;n;réttarvottur, einkum á manntalsþingi, þingvottur;2;0
47479;þristur;n;strætisvagn númer þrjú, leið þrjú;599;0
48066;æðahnútur;n;hnýttar, þrútnar bláæðar, einkum á fótleggjum;8;0
6209;blær;n;litur, yfirbragð;3340;0
6209;blær;n;hægur vindur, andvari;3340;0
43928;útfiri;n;sá hluti strandar, fjöru, sem fellur af við útfall;41;0
26624;líkamsbeiting;n;það hvernig líkamanum er beitt;112;1
27575;manndrápsveður;n;þvílíkt veður að fólki er hætt á sjó og landi;13;0
19790;hjúskaparbrot;n;það að halda fram hjá þeim sem maður er giftur;248;2
26930;log;n;ljós, eldur;416;0
7597;byssuskefti;n;handfang á byssu;45;0
38678;spilaborg;n;turn sem hlaðinn er úr spilum;802;0
53619;búsetuleyfi;n;heimild til búsetu í landi;791;1
45250;vermireitur;n;reitur til að rækta plöntur, með hita eða loki;10;0
17744;hann;pron;ákveðið hlutverk í leik, t.d. stelpa eða strákur sem á að finna hina eða elta þá;7614917;0
43189;undirstrika;v;leggja áherslu á (e-ð);18329;0
34620;sannindamerki;n;... til sönnunar;52;0
3851;austan;adv;úr austri/austurátt;40764;0
51068;sáttarorð;n;reyna að sætta þau, miðla málum;39;5
3851;austan;adv;á austurhlið/austurhluta þess;40764;0
30161;nytsamlegur;adj;sem hafa má gagn af;83;0
3851;austan;adv;það er austanvindur;40764;0
17744;hann;pron;(óskilgreint frumlag með umsögnum um veður);7614917;0
41102;söngvinn;adj;hneigður fyrir söng;128;0
19003;hemlun;n;það að stöðva farartæki;375;4
17744;hann;pron;(notað í stað nafnorðs í ýmsum föstum tilsvörum);7614917;0
41417;tekjuöflun;n;öflun tekna, laun eða verðmæti sem e-r útvegar;6797;3
39299;stig;n;hitagráða;471769;0
39299;stig;n;eitt þriggja forma sem lýsingarorð stendur í (frumstig, miðstig, efsta stig);471769;0
39299;stig;n;punktur í matskerfi eða íþrótt;471769;0
39299;stig;n;gráða sem jarðskjálftar eru mældir í;471769;0
39681;stóriðnaður;n;stórfelld iðnaðarframleiðsla;117;0
37761;slóði;n;mjög síður bakhluti á flík, t.d. skikkju, sem liggur á gólfi;353;0
52794;dælubíll;n;bíll sem er búinn afkastamiklum dælum, t.d. til nota við slökkvistarf eða holræsahreinsum;436;1
39111;statistík;n;alls kyns tölulegar upplýsingar;77;4
28725;mjóni;n;ættkvísl fiska af mjónaætt (Lumpeniae);15;0
39111;statistík;n;grein innan stærðfræði, tölfræði;77;4
38625;spekúlant;n;"sá eða sú sem reynir að græða á viðskiptum, braskari 	";48;0
38625;spekúlant;n;sá eða sú sem er gefinn fyrir hugleiðingar, pælari;48;0
56970;sárleiður;adj;mjög leiður, mjög þreyttur á einhverju;3;0
6740;bráðskotinn;adj;mjög hrifinn eða ástfanginn af e-m;1;0
17744;hann;pron;<þeir> eru að fá fisk, <þeir> eru að afla vel;7614917;0
43147;undirkafli;n;kafli sem er undirskipaður aðalkafla (t.d. kafli 2.3.2 í ritgerð);52;4
16247;graður;adj;ógeltur;147;0
17744;hann;pron;kýla <manninn> í andlitið;7614917;0
17744;hann;pron;<þau> leggja af stað;7614917;0
10433;fagurfræðilegur;adj;í samræmi við fagurfræði;67;0
52798;vændishús;n;staður þar sem vændi er stundað gegn gjaldi;398;4
15673;glaðningur;n;lítil gjöf sem kemur á óvart eða kemur sér einkar vel þegar gefin er;316;0
42380;trúmennska;n;tryggð;294;0
14447;fyrning;n;það að gera eitthvað fornlegt, t.d. að fyrna mál sitt;2015;0
41207;tannafar;n;ummerki eftir tennur;9;0
34978;semball;n;ásláttarhljóðfæri með nótnaborði sem tengt er við snertla sem slá á (hörpu)strengi;153;4
47132;þjóðhollur;adj;sem er hollur, tryggur þjóð sinni;32;0
15234;gengisbreyting;n;breyting á gengi gjaldmiðils;598;0
10101;endurhæfing;n;það að koma líkamanum aftur í gott ástand eftir veikindi eða slys;1826;4
40249;sultaról;n;minnka neyslu, auka aðhald;37;4
22635;innköllun;n;áskorun skiptaráðanda, erfingja eða annarra til skuldheimtumanna eða annarra rétthafa um að lýsa kröfum sínum í bú birt í Lögbirtingablaði.;3348;0
22635;innköllun;n;það að taka úr umferð prentað mál eða vöru, einkum vegna galla;3348;0
61310;staðsetningartæki;n;tæki sem sýnir staðarákvörðun (t.d. farartækis) á nákvæman hátt;674;3
4546;áunninn;adj;sem maður er búinn að vinna sér inn, safna sér;664;0
4546;áunninn;adj;sem ekki er meðfæddur;664;0
15329;gerviveröld;n;óraunveruleg veröld;76;3
28565;misbjóða;v;móðga (e-n), hneyksla (e-n);897;0
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;9
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;0
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;9
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;0
15022;geðflækja;n;sálræn togstreita;1;0
32883;refjar;n;heimta mat sinn og engin undanbrögð;174;0
36686;skjálfandi;adj;sem skelfur;1167;0
45618;viðurkenning;n;það að játa e-ð, viðurkenna e-ð;11546;0
45618;viðurkenning;n;dálítil verðlaun, oft í formi skjals, fyrir góðan árangur í e-u;11546;0
27502;maklegur;adj;fá verðskuldaða refsingu eða málalok;129;0
41241;tannsteinn;n;hörð skán utan á tönnum;27;0
42463;tugur;n;ellefu til nítján manns;1592;0
41419;tekt;n;... milli fermingar og tvítugs;16;0
38832;sprotabelti;n;belti úr ferhyrndum málmplötum (hvítu eða gylltu silfri, áður fyrr ásaumuðum, nú hlekkjuðum saman), með sprota við úr sama efni til skrauts, tíðkaðist með faldbúningi á 17. og fram á 18. öld, nú notað við skautbúning og kyrtil;13;0
31828;pallur;n;flöt upphækkun, oftast úr tré;524;0
38419;sólarlandaferð;n;ferðalag til sólarlanda;377;4
56461;kaffikarl;n;maður sem hefur dálæti á kaffidrykkju;8;1
45075;velta;n;það að sveiflast til beggja hliða;77403;0
43125;undirdjúp;n;mikið djúp, neðsti hluti dýpis, undirheimar hafdjúpanna;49;0
26131;leisti;n;lágur sokkur (oft úr grófu ullarbandi);27;0
24542;kórdrengur;n;drengur sem aðstoðar prest við guðsþjónustu;105;2
56514;karlalið;n;lið sem er skipað karlmönnum;2510;2
49729;níræðisafmæli;n;90 ára afmæli;356;1
46976;þilskip;n;skúta, seglskip með þilfari, notuð til fiskveiða við Ísland á 19. öld;84;0
56452;tebolli;n;bolli fyrir te;217;0
39646;stórafmæli;n;afmæli sem er heill tugur í árum, t.d. 50, 60, 70 ára afmæli;1199;6
56452;tebolli;n;bolli af tei;217;0
4938;barnaskóli;n;skóli með neðstu bekkjum grunnskóla til og með 12 ára aldurs, undanfari unglingaskóla;508;0
44683;vatnafiskur;n;fiskur sem lifir í fersku vatni;57;0
58164;rakkrem;n;krem notað við rakstur í stað raksápu;15;3
35038;sería;n;ljós í lengju;1081;4
35038;sería;n;röð af e-u útgefnu eða framleiddu, t.d. bókum;1081;4
26749;ljóðlína;n;lína í ljóði, braglína, vísuorð;130;5
35038;sería;n;röð sjónvarpsþátta;1081;4
58153;rafmagnstannbursti;n;tannbursti sem gengur fyrir rafmagni;5;1
36937;skóladrengur;n;drengur sem er í skóla;39;0
36957;skólasálfræðingur;n;sálfræðingur sem sinnir sálfræðistörfum innan skóla;93;6
27904;málaralist;n;sú listgrein að mála myndir;809;0
34720;sáðfall;n;sáðlát;181;5
29438;náðhús;n;salerni, klósett, kamar;53;0
26131;leisti;n;fótlíkan sem skósmiðir nota við iðn sína;27;0
26131;leisti;n;neðri hluti sokks;27;0
45646;vik;n;smávinna, viðvik;6068;0
45646;vik;n;skarð;6068;0
17705;handskiptur;adj;beinskiptur, ekki sjálfskiptur;162;5
17705;handskiptur;adj;handstrengjóttur og greindur í flipa niður að blaðgrunninum;162;5
25378;lafði;n;enskur titill aðals- eða hefðarkonu;657;0
26315;léttklæddur;adj;lítið klæddur;142;0
20938;hringla;n;leikfang handa ungbörnum sem hringlar í þegar það er hrist;721;1
55855;heildarverðmæti;n;samanlagt verðmæti;2986;4
34788;sár;adj;með sár á líkamanum;18884;0
32198;pottlok;n;lok á potti;79;0
32198;pottlok;n;lítil húfa;79;0
20252;hneykslismál;n;mál sem vekur hneykslun og vanþóknun;1211;6
58213;reiðiöskur;n;hátt hljóð sem rekið er upp vegna reiði;15;3
17570;hamrabelti;n;langur samfelldur hamar;142;0
53991;atvinnuflugmaður;n;flugmaður sem hefur leyfi til að starfa við og fá greitt fyrir að fljúga flugvél;243;6
16740;gróðurlendi;n;svæði þakið gróðri;857;0
39028;standlampi;n;gólflampi;23;0
42131;tómahljóð;n;holt hljóð, hljóð eins og úr tómi;120;0
39302;stigagjöf;n;það að veita stig, t.d. í spurningakeppni eða fyrir svör á prófi;557;2
42081;tormeltur;adj;sem erfitt er að melta;12;0
8504;draumsýn;n;ímyndaðar aðstæður sem tengjast draumum manns og þrám;1106;0
11268;fiskasteinn;n;steinn til að berja harðfisk á;1;0
46232;vopnaður;adj;búinn vopni, sem ber vopn;5655;0
42081;tormeltur;adj;sem erfitt er að skilja eða njóta;12;0
7074;brókaði;n;þykkt mynsturofið silki- eða gerviefni;3;5
36705;skjólborð;n;brík eða fjöl aftan á vörubíl sem kemur í veg fyrir að farmurinn renni af honum;90;0
7163;brúðkaupsferð;n;skemmtiferð brúðhjóna stuttu eftir brúðkaupið;953;6
51286;stighækkandi;adj;sem hækkar stig af stigi;1430;0
4473;ástundun;n;það að ástunda e-ð;1501;9
18967;helmingaskipti;n;það að skipta eign í tvennt;607;0
28269;merking;n;það hvað e-ð merkir, inntak, þýðing;4009;0
28269;merking;n;"það að merkja; það sem e-ð er merkt með";4009;0
3851;austan;adv;(miðað við Ísland) frá Austurlandi;40764;0
16752;gróðurvana;adj;án gróðurs, með engum gróðri;123;3
43284;uppáleggja;v;skipa (e-m) að gera e-ð;16;0
25028;kvenfrelsi;n;frelsi kvenna til jafns við karla á öllum sviðum samfélagsins;779;0
27296;lær;n;læri;381;0
27296;lær;n;læri;381;1
27296;lær;n;læri;381;0
27296;lær;n;læri;381;1
20853;hreppur;n;fara á framfæri sveitarfélagsins;940;0
3851;austan;adv;"í vesturátt um hafið frá Noregi (til Íslands); í vesturátt frá löndum austan Atlantshafs (til Ameríku)";40764;0
24087;klaufjárn;n;kúbein;2;0
45829;vinnuskóli;n;sumarvinna fyrir unglinga á vegum yfirvalda sem felst einkum í umhirðu gróðurs og umhverfisins;204;0
39652;stóreflis;adj;mjög stór;240;0
14186;furðulega;adv;sem vekur furðu, einkennilega;3756;1
40382;súpa;v;fá sér sopa;4404;0
18802;heimsósómi;n;gagnrýni í bundnu eða óbundnumáli á samtíðina, heimsádeila;24;2
31465;ósamkomulag;n;deila, ósætti;655;3
22636;innlausn;n;það að innleysa (t.d. borga skuld, leysa veð);2894;0
9224;efnisyfirlit;n;skrá, eftir blaðsíðutali, um innri skipan ritverks;241;7
36745;skoðanafrelsi;n;frelsi til að hafa eigin skoðanir og fylgja þeim;646;0
41167;talgalli;n;það að geta ekki myndað rétt málhljóð;5;1
10947;ferðabann;n;bann við að ferðast á milli staða;463;4
44404;vamm;n;vera ákaflega ráðvandur, heiðarlegur;417;0
44404;vamm;n;vera ákaflega ráðvandur, heiðarlegur;417;1
44404;vamm;n;vera ákaflega ráðvandur, heiðarlegur;417;0
44404;vamm;n;vera ákaflega ráðvandur, heiðarlegur;417;1
7254;brækja;n;slæm lykt;4;0
7254;brækja;n;köld þoka;4;0
16489;greinarkorn;n;stutt ritsmíð, greinarstúfur;232;0
26226;lestrarbók;n;kennslubók í lestri;79;0
4247;ánauðugur;adj;sem er í ánauð, ófrjáls;17;0
45718;vinarhugur;n;vinsamlegt viðmót;41;0
23526;kasóléttur;adj;kominn langt á leið, áberandi óléttur;9;5
11857;fjör;n;vera við góða heilsu;12876;0
46548;yfirspenntur;adj;fullur spennu, órólegur og æstur;98;0
11857;fjör;n;vera sá eða sú sem sér til þess að allir skemmti sér;12876;0
25638;langleið;n;næstum alla leið;12;0
11857;fjör;n;komast undan með því að hlaupa;12876;0
26714;lítill;adj;sem hefur takmarkað gildi, takmarkaður;50226;0
9280;eftirlíking;n;verk í tónlist, myndlist, skáldskap eða hönnun þar sem líkt er eftir beinni fyrirmynd;1488;0
19866;hleifur;n;heilt brauð, brauðhleifur;24;0
39799;strákslega;adv;á strákslegan hátt;92;2
35188;sérstæða;n;atburður í tímarúmi sem afstæðiskenningin nær ekki að lýsa;1818;3
42804;tölvuskrá;n;ákveðin gögn í tölvu, t.d. texti, mynd eða forrit, sem hefur vissa stærð og ákveðið heiti;107;8
45298;verulegur;adj;sem um munar, mikill;13989;0
12935;fóstruskóli;n;skóli sem menntar fóstrur (leikskólakennara);26;2
17683;handlæknisdeild;n;handlækningadeild, skurðdeild;29;2
11543;fjarnám;n;nám sem nemandi stundar utan skóla en fær kennslu og verkefni með fjarskiptum eða pósti;2633;2
18483;heilaskurðlæknir;n;skurðlæknir sem gerir aðgerðir á heila;72;3
2320;aðgengilegur;adj;sem hægt er að ganga að, viðunandi, sanngjarn;2157;0
19286;hettusótt;n;sjúkdómur;451;0
15357;getnaðarfæri;n;kynfæri;7;0
34906;seilast;v;teygja sig (eftir e-u);2186;2
33726;róttækni;n;það að vera róttækur;592;0
57883;höfundarnafn;n;nafn sem höfundur notar fyrir verk sín;100;0
31766;óþekkt;n;það að vera óþekkur;6708;0
20853;hreppur;n;vera á framfæri sveitarfélagsins;940;0
6316;bollapar;n;samstæður bolli og undirskál;9;0
57883;höfundarnafn;n;nafn höfundar;100;0
28721;mjólkursýra;n;efni sem verður til við niðurbrot glúkósa í líkamanum;47;0
35833;sjóveiki;n;ógleði sem kemur af því að vera á skipi í öldugangi;365;5
55903;snjóhetta;n;snjór á fjallstoppi;1;3
56346;leirílát;n;ílát gert úr leir;11;0
29597;náttúrusaga;n;náttúrufræði, yfirlit um sögu dýra, jurta og hinnar dauðu náttúru á jörðinni;13;0
12965;fósturvatn;n;legvatn;3;2
2408;aðstandandi;n;sá eða sú sem skipuleggur, undirbýr eða vinnur að tiltekinum atburði eða starfsemi;1204;2
2408;aðstandandi;n;náinn ættingi eða annar fjölskyldumeðlimur;1204;2
45091;vend;n;binding í vefnaði, uppsetning banda í vefstól;9;0
33956;ræðumaður;n;sá eða sú sem heldur ræðu;12865;5
10787;fámáll;adj;sem segir fátt, þegjandalegur;581;0
56873;helstur;adj;mestur;322;1
45635;viðvistarskrá;n;listi yfir nemendur sem sótt hafa kennslustund eða fundarmenn sem sitja fund;1;1
40428;svaladyr;n;dyr út á svalir;170;5
8693;drusla;n;lélegur bíll, bíldrusla;522;1
8693;drusla;n;lélegur bíll, bíldrusla;522;0
5263;bensen;n;lífrænt efni, vökvi sem er að finna í bensíni;69;4
21819;hversdagsmatur;n;matur sem neytt er hversdags;104;3
5638;bílnúmer;n;skráningarnúmer bíls;607;4
4194;álitsauki;n;... jók álit hennar, bætti álit annarra á henni;15;6
5638;bílnúmer;n;númeraplata á bíl;607;4
12798;forstjóri;n;æðsti stjórnandi fyrirtækis;109027;0
44729;vatnsköttur;n;lirfa brunnklukku;3;0
4422;ásmegin;n;honum eykst kraftur, hann færist í aukana;1749;0
4927;barnameðfæri;n;... ekki fyrir börn að meðhöndla;14;0
8693;drusla;n;kona sem hefur litla siðferðiskennd, lauslát kona;522;1
8693;drusla;n;kona sem hefur litla siðferðiskennd, lauslát kona;522;0
36826;skorningur;n;skurður eða farvegur myndaður af vatni eða hjóli;2;0
13526;fréttamaður;n;sá eða sú sem starfar við öflun og framsetningu frétta á fjölmiðli;17656;3
11571;fjarvinnsla;n;það að tengjast tölvu og vinna á hana úr fjarlægð;87;4
11848;fjölvi;n;stutt skipun eða ásláttur, e.k. skammstöfun sem kallar fram röð stafa eða skipana;96;1
14664;gagnaskráning;n;skráning upplýsinga í tölvu;14;5
56397;jarðskjálftakippur;n;snögg hreyfing sem vart verður á yfirborði jarðar;21;0
27097;lúðulaki;n;náungi sem er druslulegur til fara;7;0
9819;eiturefni;n;eitrað efni, eitur;3229;0
42803;tölvunarfræðingur;n;sá eða sú sem er með próf í tölvunarfræði;1421;2
7130;brunnklukka;n;bjalla sem lifir í vötnum og tjörnum (af ætt Dytiscidae);4;0
36705;skjólborð;n;borð sem hægt er að bæta ofan á borðstokk báts svo að hann verði borðhærri;90;0
28725;mjóni;n;grannur maður;15;0
50092;pylsubrauð;n;lítið ílangt brauð sem pylsa er sett inn í;86;1
58341;rúmsentimetri;n;sentimetri mældur í þremur víddum, lengd, breidd og hæð;17;3
16924;grænmetisæta;n;sá eða sú sem neytir grænmetis en ekki kjöts;955;2
56252;lyfjaiðnaður;n;umfangsmikil lyfjaframleiðsla;60;3
50746;smjörgras;n;"íslensk plöntutegund af grímublómaætt; með löngum, fjólubláum blómum efst á blöðóttum, hærðum stönglum; vex í blómlendi og víðar";24;0
40372;súla;n;stór, nær alhvítur sjófugl með gulleitan haus og langa vængi;380;0
40372;súla;n;stór, nær alhvítur sjófugl með gulleitan haus og langa vængi;380;1
8262;djúpsæi;n;hæfileiki til að hugsa djúpt, djúphygli;9;8
8262;djúpsæi;n;hæfileiki til að hugsa djúpt, djúphygli;9;0
8262;djúpsæi;n;hæfileiki til að hugsa djúpt, djúphygli;9;8
8262;djúpsæi;n;hæfileiki til að hugsa djúpt, djúphygli;9;0
14095;fullorðnast;v;verða fullorðinn, þroskast;700;2
41999;togari;n;fiskiskip, búið til veiða með botnvörpu;1465;0
33367;risnukostnaður;n;kostnaður vegna veitinga og þess háttar af hálfu handhafa embættis ;130;2
12040;fletta;n;uppflettiorð í orðabók;8019;0
20193;hnakkrífast;v;rífast ákaft;82;0
47479;þristur;n;spil númer þrjú af sérhverri sort;599;0
25341;köfnunarefni;n;frumefnið N, lofttegund (nitur);812;0
26040;leigusali;n;eigandi leiguhúsnæðis sem hann leigir öðrum;2853;7
15850;glitmerki;n;plata eða ræma sem gefur frá sér endurskin, endurskinsmerki;59;2
44264;útveggur;n;veggur húss sem veit út á við;95;0
36140;skattyrðast;v;rífast, skammast;204;0
5217;bekkjardeild;n;bekkur í skóla;267;2
9035;dægurmál;n;málefni líðandi stundar;563;0
47100;þjóðfáni;n;einkennisfáni þjóðar;240;0
46715;þak;n;efstu mörk eða hámark einhvers, svo sem eftirvinnu eða launa;13546;0
7905;dauðadómur;n;dómur um að sakborningur skuli líflátinn;900;0
35683;sjávarlíffræði;n;grein innan líffræði sem fjallar um lífríki sjávar, haflíffræði;293;1
14258;fylgifiskur;n;e-ð sem fylgir með öðru;2339;0
49350;lífmassi;n;heildarþungi allra lifandi lífvera á flatareiningu á ákveðnum tíma;177;4
49471;örverufræði;n;fræðigrein sem fjallar um örverur, m.a. sýkla;158;4
30785;ormalyf;n;lyf við ormasýkingum;152;6
14161;fundarmaður;n;sá eða sú sem situr fund;104;0
13365;frauka;n;fröken;15;0
16833;grunnskreiður;adj;sem ristir grunnt;3;0
10380;eyrnasnepill;n;sepi neðst á eyra;5;0
49541;baðvörður;n;umsjónarmaður baða og búningsklefa í sundlaug/líkamsræktarstöð;95;8
13412;frár;adj;fljótur;293;0
25612;langband;n;borð eða planki sem gengur langs eftir burðarvirki, t.d. í húsi eða skipi;6;0
9097;eðalborinn;adj;af göfugri ætt, fæddur inn í aðalsfjölskyldu;16;0
25615;langbylgja;n;útvarpsbylgja með lágri tíðni;23;0
58359;mannræfill;n;vesalingur, illa farinn maður, ónytjungur;2;0
32402;púl;n;erfiðisvinna;294;0
15019;geðdeild;n;sjúkrahúsdeild fyrir fólk með geðsjúkdóma;5413;1
51807;afþiljaður;adj;afmarkaður með timburveggjum;2;0
9629;einkunnarorð;n;setning, málsgrein eða orðatiltæki sem maður tileinkar sér, kjörorð;1637;0
13862;frumufræði;n;grein í líffræði og læknisfræði sem fjallar um gerð frumna (enska cytology);1;4
34153;sakaruppgjöf;n;það að gefa dæmdum sakamanni eftir refsingu;1054;2
49305;heilastofn;n;sá hluti heilans sem tengist mænunni;29;6
45183;verkalýðssinni;n;sá eða sú sem styður málstað verkalýðsins;102;2
58372;ræningjaflokkur;n;hópur ræningja;7;5
40378;súlfíð;n;eitruð lofttegund, vetnissúlfíð, H2S;35;3
38968;stafafura;n;tegund barrtrés;206;7
25961;leggja;v;beita lagvopni á hann;474102;0
50871;brauðterta;n;kaldur veisluréttur úr brauðbotnum með t.d. rækjum eða skinku og majónesi;34;2
8521;dráttardýr;n;dýr sem dregur t.d. vagn, t.d. hestur, uxi;65;4
44118;útnyrðingur;n;norðvestanvindur;3;0
13398;fráhvarf;n;það að hverfa frá e-u, hverfa burt, brotthvarf;702;0
51191;afturdrif;n;afturhjóladrif;48;2
19047;herbergi;n;aðgreind vistarvera í húsi, t.d. svefnherbergi eða stofa;33597;0
13398;fráhvarf;n;það að hætta við e-ð;702;0
2410;aðstoð;n;hjálp, stuðningur;108381;0
3706;auðsýna;v;viðhafa (e-a hegðun) gagnvart (e-m), sýna (e-m) samúð, kurteisi o.fl.;117;0
50838;blómakassi;n;kassi fyrir blóm, oft úr tré;1;2
11472;fjallafura;n;barrtré eða runni af þallarætt;9;0
50395;lagkaka;n;lagskipt ferköntuð terta, annaðhvort ljós með sultu eða brún með hvítu kremi á milli laga;42;5
28680;mínustala;n;neikvæð tala, tala sem er minni en núll;21;1
52661;lyktarlaus;adj;sem engin lykt er af;176;0
52288;lyktarsterkur;adj;sem er mikil lykt af;4;7
3785;aukabiti;n;aukaskammtur af mat (utan venjulegs matmálstíma);14;0
37761;slóði;n;ógreinilegur vegur;353;0
22072;hægindi;n;mjúkt og þægilegt sæti, hægindastóll;135;0
37761;slóði;n;framtakslítill og hirðulaus maður;353;0
43102;undanvillingur;n;lamb sem hefur týnt móður sinni;17;0
43102;undanvillingur;n;sá eða sú sem hefur skipt um trúfélag, stjórnmálaflokk o.þ.h.;17;0
25642;langlífur;adj;sem lifir lengi, verður gamall;429;0
55664;minnisglöp;n;gleymska, oft í tengslum við sjúkdóma;118;2
34367;samkomuhús;n;bygging sem hýsir starfsemi til hvers konar mannfagnaðar;838;0
24239;klungur;n;planta eða runni af ættkvísl Rubus, m.a. hindberjarunni og hrútaberjalyng;80;0
25510;landhelgisbrjótur;n;menn eða skip sem veiða í óleyfi í landhelgi annars lands;7;4
23631;kápa;n;prentað glansblað utan um bók, bókarkápa;629;1
23631;kápa;n;prentað glansblað utan um bók, bókarkápa;629;0
3154;alþjóðamál;n;alþjóðleg málefni;1292;0
6374;borg;n;stórt bæjarfélag;40630;0
6374;borg;n;stórt bæjarfélag;40630;1
6374;borg;n;stórt bæjarfélag;40630;1
4627;baggalútur;n;lítil kúla úr hrauni, oftast líparítkviku, sem hefur myndast við storknun;890;0
2836;agn;n;æti sem er sett á veiðarfæri til að fiskur bíti á;528;0
2836;agn;n;hlutu sem lokkar mann til að ganga í gildru;528;0
23883;kísilsýra;n;steinefni, samband kísils og súrefnis (og vetnis) (Si02 eða H4SiO4), sem m.a. er að finna í kvarsi;21;0
37773;sluma;v;það dregur niður í honum, hann þagnar;14;0
49581;jöklafræðingur;n;náttúrufræðingur sem sérhæfir síg í jöklum;288;0
32148;plönturíki;n;allar plöntur til samans á tilteknum stað og tíma, jurtaríki;10;0
33710;rótarskot;n;sproti sem vex upp frá rót plöntu eða trés;39;0
19679;hjálmur;n;ljóshlíf á lampa, lampaskermur;1142;0
19679;hjálmur;n;höfuðhlíf af margvíslegu tagi úr hörðu efni;1142;0
45871;vinstristefna;n;stjórnmálastefna sem leggur áherslu á félagshyggju og jöfnuð;27;3
5350;berklasjúklingur;n;sá eða sú sem er veikur af berklum;31;0
24044;kjötsúpa;n;súpa þar sem kjöt er aðaluppistaðan;549;0
9444;eilífð;n;mjög langur endalaus tími;2801;0
39299;stig;n;áfangi í þróun, þrep í framvindu;471769;0
19765;hjónaleysi;n;kærustupar;29;0
30807;ostra;n;skeldýr, talið gómsætt til átu;47;0
18130;hálsfesti;n;skartgripur til að hafa um hálsinn;274;5
27415;lögregluvarðstjóri;n;yfirmaður í lögreglunni;841;1
30500;ofkæling;n;það að líkaminn kólnar um of;64;0
3504;asna;n;kvendýr asna;603;0
61386;verkfærakista;n;safn af verkfærum, verkfærakassi;37;2
28716;mjólkurfræðingur;n;sá eða sú sem hefur lært mjólkurfræði og starfar við framleiðslu mjólkurafurða;294;6
10186;engispretta;n;skordýr af ætt Acrididae;50;0
28327;meybarn;n;nýfædd stúlka;56;0
59038;heimsending;n;það að senda vöru heim til kaupanda;187;0
58683;unglingsstúlka;n;stúlka á unglingsaldri;531;0
2486;afgangur;n;það sem verður eftir, leifar;5645;0
49617;píanóleikari;n;sá eða sú sem spilar á píanó;6079;5
16293;granatepli;n;rauður, ætilegur ávöxtur með mörgum fræjum;164;0
13723;frostlögur;n;vökvi sem bætt er á kælikerfi bílvéla til að hindra að kælivökvinn frjósi;112;0
7502;búvara;n;framleiðsluvara landbúnaðar;2021;5
35292;sigrihrósandi;adj;sem fagnar glaður unnum sigri;65;5
20666;hraðsuðuketill;n;rafmagnstæki til að sjóða í vatn;37;0
17789;harðfiskur;n;þurrkaður og hertur fiskur;767;0
47821;þverbak;n;það gengur úr hófi, það gengur fram af manni, nú er manni nóg boðið;1157;0
38780;spónaplata;n;plata úr pressuðum tréspónum með sléttu yfirborði til að klæða veggi;39;4
9191;efnaskipti;n;öll efnahvörf sem eiga sér stað í lífveru;639;0
40972;sær;n;sjór, haf;1092;0
46410;vöruskiptahalli;n;halli í utanríkisviðskiptum, það að verðmæti útflutnings er minna en innflutnings;144;1
36486;skipakví;n;sérstakt afmarkað rými fyrir skip í höfn (til viðhalds og viðgerða);48;0
25481;landamörk;n;mörk tveggja jarða;182;4
11650;fjármark;n;merki á eyrum sauðfjár, gert með sérstöku hnífsbragði eða klippum;15;0
35723;sjóhattur;n;vatnsþétt höfuðfat með breiðu slútandi barði að aftan;27;0
36506;skipaútgerð;n;félag sem á (eða leigir) skip og gerir út í atvinnuskyni;1320;0
26780;ljósár;n;sú vegalengd sem ljós fer á einu ári (9,4605 * 10(15) metrar);269;0
41039;sögustíll;n;frásagnarstíll (gamalla) sagna;3;0
32852;ránfugl;n;fugl með hvasst, bogið nef og sterkar, hvassar klær sem veiðir dýr sér til matar, t.d. fálki;118;0
48655;mangó;n;ávöxtur hitabeltistrés;1141;3
