"flid","ord","ordflokkur","texti"
20746,"hrásilki","n n","óunnið silki"
48189,"æskuslóðir","n fpl","staður, þar sem maður er alinn upp, æskustöðvar"
53232,"járnsög","n f","sög til að saga járn"
4563,"ávinningur","n m","gagn, nytsemi"
54426,"vandi","n m","það sem maður er vanur að gera, venja"
4388,"ásatrúarmaður","n m","sá eða sú sem játar trú á æsi, hin fornu norrænu goð"
53249,"innritunargjald","n n","gjald sem greiða þarf við innritun"
8279,"djöflatrú","n f","trú á tilvist djöfla"
47853,"þverskeri","n m","sög með tannalögn til að saga þvert á við"
45453,"vélsmiður","n m","iðnaðarmaður sem hefur lokið prófi í vélsmíði"
23199,"Jónsmessunótt","n f","aðfaranótt jónsmessu sem er 24. júní"
26186,"lenska","n f","siður"
45738,"vindhæð","n f","styrkur vinds, vindhraði"
27896,"málalyktir","n fpl","lok eða niðurstaða úr máli"
4508,"átrúnaður","n m","trú"
26387,"lifrauður","adj","eins og lifur á litinn, dökkrauður"
60695,"mjókkun","n f","það að mjókka e-ð"
35590,"sjálfsafgreiðsla","n f","það að afgreiða sig sjálfur um vörur eða þjónustu"
23294,"kaffihlé","n n","stutt (lögboðið) hlé á vinnustað þegar starfsmenn fá sér gjarnan kaffi"
23179,"jólakvöld","n n","kvöld á jólahátíðinni"
51102,"fjórhjól","n n","einfalt ökutæki ætlað til aksturs í vegleysum"
12362,"flutningalest","n f","járnbrautarlest sem flytur vörur og farartæki"
28499,"millistig","n n","stig milli annarra þrepa í ferli eða röð"
15504,"gírahjól","n n","reiðhjól með gírskiptingu"
8274,"djöfladýrkun","n f","tilbeiðsla illra afla"
19450,"himnastigi","n m","ímyndaður stigi sem liggur til himins"
27935,"málhvíld","n f","hlé á máli, tali"
34436,"samningstími","n m","sá tími sem samningur er í gildi"
19248,"hestakerra","n f","kerra ýmist með tveimur eða fjórum hjólum dregin af hesti og notuð til flutninga"
33438,"ritöld","n f","sá tími þegar þjóð fer að skrifa/ nota ritmál"
29493,"námsfrádráttur","n m","skattafrádráttur fyrir námsmenn"
3153,"alþjóðalög","n npl","safn réttarreglna sem almennt hafa þýðingu fyrir aðila í fleiri en einu ríki"
30249,"nýsteinöld","n f","síðasti hluti steinaldar við lok síðasta ísaldarskeiðs fyrir um 12.000 árum"
30213,"nýlífsöld","n f","sú jarðsöguöld sem nú ríkir á jörðinni, nær yfir tertíer og kvarter"
66462,"heilaáfall","n m",""
23826,"kirkjuorgel","n n","orgel sem ætlað er til tónlistarhalds við kirkjulegar athafnir"
19064,"herðar","n fpl","aftanverðar axlir og efri hluti baks"
11226,"fingurgómur","n m","fremsti hluti fingurs"
3088,"alsiða","adj","almennt tíðkaður"
28605,"mismunadrif","n n","hluti af drifbúnaði, t.d. í bíl, gerir mögulegt að drifhjólin snúist mishratt (t.d. þegar beygt er)"
23915,"kjalta","n f","sæti ofan á lærum sitjandi manneskju"
7535,"byggingarverkfræði","n f","sú grein verkfræði sem fæst við hönnun og smíði hvers konar mannvirkja"
53191,"áfrýjandi","n m","sá eða sú sem áfrýjar máli til æðra dómstigs"
8362,"dómsátt","n f","formlegt og bindandi samkomulag sem gert er fyrir dómi um sakarefnið, réttarsátt"
34514,"samtíð","n f","tíminn núna, núverandi tímaskeið"
48254,"ættjörð","n f","fósturjörð, föðurland, ættland"
8367,"dómsmál","n n","mál sem rekið er fyrir dómstóli"
36386,"skilagjald","n n","endurgreiðsla fyrir það sem skilað er"
39024,"standandi","adj","sem stendur"
63850,"neyðaraðstoð","n f","aðstoð sem er veitt þeim sem eru í neyð, t.d. vegna hungurs, náttúruhamfara eða stríðsátaka "
19534,"hitalaus","adj","ekki með sótthita (lengur)"
64559,"söguskýring","n f","skýring á því hvers vegna liðnir atburðir urðu eins og raunin varð"
34360,"samkeppnisgrundvöllur","n m","aðstæður á markaði þar sem samkeppni ríkir"
62475,"auglýsingadeild","n f","deild hjá fyrirtæki sem sér um sölu og birtingu auglýsinga"
27088,"lurkur","n m","(óheflaður) viðarbútur eða grein, t.d. sem barefli eða eldiviður"
53192,"aðalmeðferð","n f","fyrirtaka máls fyrir dómi þegar fram fara skýrslutökur og munnlegur flutningur málsins"
19735,"hjólatík","n f","lélegt faratæki á hjólum"
30140,"nútími","n m","sá tími sem er núna, samtími"
9659,"einmenningskeppni","n f","íþróttakeppni þar sem eintaklingar keppa"
28495,"milliríkjaverslun","n f","verslun með vörur á milli landa"
33192,"reynslutími","n m","tími sem er til reynslu"
10338,"eyðsla","n f","það að eyða"
52970,"angström","n n","mælieining, notuð m.a. til að lýsa bylgjulengd ljóss og stærð atóma"
52836,"heiltala","n f","tala sem er heil: 1,2,3,4,5,6 .... "
51130,"efnalaug","n f","fyrirtæki sem þurrhreinsar föt, fatahreinsun"
47951,"þyngdareining","n f","mælieining fyrir þyngd, t.d. gramm og pund"
26951,"lokafrestur","n m","allra síðasti frestur"
34519,"samtími","n m","tíminn núna, núverandi tímaskeið"
42753,"töf","n f","það þegar e-ð tefst, er hindrað, þarf að bíða"
45210,"verkjalaus","adj","ekki (lengur) með verki"
27099,"lúður","n m","horn með fláu opi þar sem hljóðið kemur út"
33003,"reikningsár","n n","bókhaldsár í rekstri"
5219,"bekkjarkerfi","n n","fyrirkomulag í skóla þar sem kennt er í bekkjardeildum en ekki samkvæmt áfangakerfi"
42817,"törn","n f","góð vinnulota"
53195,"atvinnuþátttaka","n f","það að taka þátt í atvinnulífinu, það að stunda vinnu"
8625,"drífa","n f","dálítil snjókoma (með nokkrum vindi)"
7685,"bændaskóli","n m","skóli sem annast menntun (tilvonandi) bænda"
9431,"eignarskattur","n m","skattur á hreina eign"
4352,"árslok","n npl","lok ársins"
9432,"eignaskipti","n npl","skipting á eignum"
10390,"éljagangur","n m","haglkennd snjókoma sem kemur í hviðum"
30416,"oddavefnaður","n m","einfaldur spjaldvefnaður, oft með oddalöguðu mynstri"
20652,"hraðlest","n f","járnbrautarlest sem hefur fáa viðkomustaði og fer hratt yfir"
11738,"fjúk","n n","vindur með takmarkaðri snjókomu"
16718,"gróðrarskúr","n f","mild og hlý rigningarskúr sem stendur stutt"
36243,"skeggöld","n f","tími ofbeldis og glæpa, skálmöld"
44001,"úthvíldur","adj","búinn að hvíla sig nóg"
9425,"eignhelgi","n f","friðhelgi sem eigendum er áskilin yfir eign sinni"
48616,"öskugos","n n","spengigos með mikilli gosösku"
36210,"skálmöld","n f","tími ofbeldis og glæpa"
27131,"lúta","n f","strengjahljóðfæri með stuttan og breiðan háls og hvelfdan botn"
43940,"útflutningsverslun","n f","verslun með vörur til annarra landa"
19543,"hitaskúr","n f","regnskúr sem kemur í heitu veðri"
30322,"næringarfræði","n f","fræðigrein sem fjallar um fæðu og næringargildi hennar"
27947,"málmblásturshljóðfæri","n n","hljóðfæri úr málmi þar sem tónn myndast við blástur vara í munnstykki"
51203,"landbúnaðarháskóli","n m","háskóli þar sem kenndar eru greinar búvísinda"
43806,"úrfelli","n n","mikil rigning"
33486,"ríkisskuldabréf","n n","skuldabréf útgefið af ríkissjóði"
31807,"óöld","n f","tími ofbeldis og glæpa"
37473,"skýfall","n n","mjög mikil rigning, venjulega í stuttan tíma"
37361,"skúraleiðingar","n fpl","smáskúrir á stökum svæðum"
36110,"skattfrádráttur","n m","frádráttur frá tekjum eða eign sem skattgreiðanda er heimilaður áður en skattur leggst á"
38173,"snjókoma","n f","úrkoma sem fellur í formi snjókorna"
29142,"mæðgin","n npl","móðir og sonur (synir) hennar"
29143,"mæðgur","n fpl","móðir og dóttir (dætur) hennar"
28854,"móðuramma","n f","amma í móðurætt, móðir móður e-s"
37784,"slydda","n f","blaut snjókoma sem fellur í flyksum"
18260,"hátalari","n m","tæki sem breytir rafsveiflum í hljóð"
34860,"segldúkur","n m","sterkt, þéttofið léreft m.a. notað í segl"
34210,"salúnsvefnaður","n m","sérstök vefnaðargerð, mynsturband (yfirband) á einskeftugrunni, oft ofið í rúmábreiður"
50741,"skógarsóley","n f","garðplanta af ættkvísl Anemone, anemóna"
34861,"seglgarn","n n","hampgarn notað m.a. til seglasaums, sterkt garn"
28855,"móðurbróðir","n m","bróðir móður e-s"
28861,"móðursystir","n f","systir móður e-s"
11190,"fimi","n f","það að vera fimur, fimleiki"
43821,"úrkoma","n f","raki sem fellur í dropum úr mettuðu lofti (skýjum), ýmist regn eða snjór"
28862,"móðursystkin","n npl","systkini móður e-s"
45399,"vetur","n m","árstíð þegar kalt er og dimmt, í nokkra mánuði eða vikur samfleytt"
37617,"slánalegur","adj","langur og mjór"
29802,"niðji","n m","afkomandi"
42847,"umboðsverslun","n f","fyrirtæki sem selur vörur í umboði framleiðanda"
46081,"vínrauður","adj","rauður á litinn eins og vín, dimmfjólurauður"
60696,"kikk","n n","mikil vellíðan"
31814,"pabbi","n m","faðir"
24299,"kné","n n","hné"
22212,"höfuðlag","n n","lögun höfuðs"
27593,"mannfræði","n f","fræðigrein sem fjallar um mannkynið, mismunandi kynþætti og menningu"
38325,"sonarsonur","n m","sonur sonar e-s"
37405,"skyldulið","n n","ættingjar, skyldmenni"
29443,"náfrænka","n f","kona sem er náskyld e-m"
37398,"skyldfólk","n n","ættingjar, skyldmenni"
37400,"skyldmenni","n n","sá eða sú sem er líffræðilega tengdur e-m, frændi eða frænka, ættingi"
8346,"dómgæsla","n f","störf dómara (á íþróttamótum og í kappleikjum)"
62422,"afmælissöngur","n m","sérstakt lag sem er sungið fyrir afmælisbarn"
21504,"huppur","n m","síðan milli mjaðmarbeins og rifja, lægðin milli kviðar og læris á skepnum"
59323,"leiðréttast","v","vera leiðréttur"
22222,"höfuðskel","n f","höfuðkúpa"
39519,"stjúpforeldri","n n","stjúpmóðir eða stjúpfaðir"
39515,"stjúpbarn","n n","barn maka e-s"
24886,"kunta","n f","sköp konu"
40308,"sundurgerðarmaður","n m","maður sem klæðist áberandi fötum"
14829,"ganglimur","n m","útlimur til að ganga á"
39518,"stjúpfaðir","n m","eiginmaður foreldris e-s, stjúpi"
39520,"stjúpi","n m","eiginmaður foreldris e-s, stjúpfaðir"
39517,"stjúpdóttir","n f","dóttir maka e-s"
39522,"stjúpsonur","n m","sonur maka e-s"
21921,"hvoftur","n m","munnur ýmissa dýra, kjaftur"
60128,"íslamskur","adj","sem varðar íslam, múðhameðstrú"
53347,"anórakkur","n m","peysa eða úlpa sem er lokuð að framan og með hettu"
24674,"kríli","n n","e-ð lítið, t.d. barn eða dýr"
28212,"mengjareikningur","n m","reikniaðgerðir með mengjum"
35111,"séntilmaður","n m","afar kurteis og fágaður maður"
17945,"haust","n n","árstíðin sem tekur við að sumrinu"
28964,"munnvatn","n n","vökvi sem munnkirtlar framleiða"
2723,"aftakaveður","n n","afar hvasst veður, mikið óveður"
43176,"undirróðursmaður","n m","sá eða sú sem stundar áróður að tjaldabaki"
28965,"munnvatnskirtill","n m","kirtill sem myndar vökva sem heldur slímhúð munns rakri"
46244,"vor","n n","árstíðin sem tekur við af vetrinum"
22394,"il","n f","gangflötur neðan á fæti"
29627,"neðanmálsgrein","n f","athugasemd neðan meginmáls í bók eða tímariti, oft með smærra letri"
20570,"hólmganga","n f","einvígi"
47577,"þrumuveður","n n","það þegar gengur á með þrumum og eldingum"
38250,"snyrtimenni","n n","mjög snyrtilegur maður"
29639,"neðrigómur","n m","neðri hluti munnhols"
23957,"kjálkabarð","n n","neðri brún kjálkans"
18033,"háhæla","adj","með háa hæla, hælahár"
26978,"loppa","n f","fremsti hlutinn á löpp á dýri (ketti, hundi)"
55387,"meðaleyðsla","n f","eyðsla að meðaltali, einkum eldsneytis fyrir bifreiðar"
38753,"sporhundur","n m","hundur sem er notaður til að rekja slóð"
46630,"yrðlingur","n m","afkvæmi refs"
4434,"ástarljóð","n n","kvæði sem ljóðmælandi yrkir til annarrar persónu og tjáir ástir sínar til hennar"
55368,"ritgerðarefni","n n","viðfangsefni í ritgerð"
24755,"krumla","n f","hönd sem er óvelkomin eða óvinveitt"
39661,"stórfjölskylda","n f","foreldrar ásamt börnum sínum, afa og ömmu barnanna og e.t.v. öðrum nánum skyldmennum"
21186,"hryssa","n f","kvenkyns hestur"
43789,"úlfynja","n f","kvendýr úlfs"
19261,"hestfolald","n n","karlkyns folald"
44943,"veiðihundur","n m","hundur sem er notaður við veiðar"
25029,"kvenfugl","n m","kvenkyns fugl"
51134,"geitungabú","n n","staður þar sem geitungar búa margir saman"
7604,"býflugnabú","n n","staður þar sem býflugur búa margar saman"
10993,"ferfætlingur","n m","skepna (með 4 fætur)"
3075,"alpagrein","n f","ein af skíðaíþróttagreinunum svig, stórsvig, risasvig og brun"
55349,"barnadeild","n f","sjúkrahúsdeild fyrir börn"
4620,"baga","n f","vísuerindi"
12474,"folald","n n","afkvæmi hests"
55321,"óvinaþjóð","n f","þjóð sem á í stríði við aðra þjóð"
45215,"verklaginn","adj","sem er laginn við verk sín"
25880,"lágnætti","n n","miðnætti"
48530,"örmögnun","n f","það að vera örmagna, máttvana eða máttlaus"
38670,"spéhræddur","adj","hræddur við háð og spott"
20217,"hnaus","n m","kökkur af mold eða öðrum jarðvegi"
41178,"talnakerfi","n n","grunnkerfi talna sem er notað við talningu og útreikninga, t.d. tugakerfi"
20339,"hnúi","n m","liður á fingri handarbaksmegin"
4997,"basalt","n n","samheiti yfir basískar gosbergstegundir"
10605,"farmannapróf","n n","skipstjórnarpróf"
24825,"kubbslegur","adj","stuttur og sver"
20075,"hlust","n f","göngin inn að hljóðhimnu eyrans"
37959,"smetti","n n","andlit"
25088,"kviðvöðvi","n m","vöðvi framan á kvið"
38131,"snifsi","n n","svolítið stykki af e-u þunnu, einkum pappír eða taui"
26011,"leiðrétta","v","lagfæra skekkjur eða villur (í e-u / hjá e-m)"
3987,"áfangaskýrsla","n f","greinargerð um ákveðið verkefni sem ekki er að fullu lokið"
25087,"kviður","n m","magi"
44762,"vaxmynd","n f","líkneski úr vaxi, oft af frægri persónu"
44078,"útlát","n npl","eyðsla á peningum, fjárútlát"
16906,"græja","n f","tæki, útbúnaður"
28338,"meyrlyndur","adj","tilfinninganæmur, grátgjarn"
18183,"hársár","adj","viðkvæmur í hársverðinum"
28843,"móðgandi","adj","sem móðgar"
36536,"skipstjórnarmaður","n m","sá eða sú sem hefur réttindi til að stjórna skipi"
52934,"blandgos","n n","eldgos þar sem hraun rennur ásamt því að misgróf gjóska komi upp"
41597,"tilfinningamaður","n m","maður sem býr yfir sterkum tilfinningum"
41128,"taft","n n","stíft þéttofið þunnt efni, einkum notað í sparifatnað"
43343,"uppfræðsla","n f","það að fræða e-n"
7881,"danskvæði","n n","kvæði sem sungið er eða kveðið við dans"
16422,"grátgjarn","adj","gjarn á að gráta, viðkvæmur"
7889,"dansvísa","n f","erindi úr danskvæði"
46511,"yfirlið","n n","það að missa meðvitund"
48525,"örmagna","adj","að niðurlotum kominn, máttvana (einkum af þreytu)"
30293,"næmgeðja","adj","viðkvæmur í geði, tilfinninganæmur"
6523,"bókmenntatímarit","n n","tímarit sem fjallar um bókmenntir og skáldskap"
13810,"frumkvæði","n n","hugmynd ásamt forystu um tiltekið framtak eða verkefni"
2822,"afæta","n f","sá eða sú sem tekur eða sníkir af öðrum"
8143,"diktur","n m","kvæði, bragur"
7664,"bæklunardeild","n f","sjúkrahússdeild þar sem eru gerðar aðgerðir á liðum og beinum"
36535,"skipstjórn","n f","það að stjórna skipi"
3614,"atviksliður","n m","setningarliður þar sem kjarninn er atviksorð (eða atviksorðssamband)"
37618,"sláni","n m","langur og mjór strákur eða ungur maður"
46372,"vökvastýri","n n","aflstýri þar sem vökvadæla léttir átakið"
46184,"vogrís","n m","smákýli á augnhvarmi"
34547,"samvinnuskóli","n m","skóli sem áður menntaði fólk til verslunarstarfa, rekinn af samvinnuhreyfingunni"
18372,"heftari","n m","áhald til að festa saman blöð (með grönnum vír)"
41257,"tapsár","adj","sem er viðkvæmur fyrir því að tapa, þolir illa að tapa"
45083,"velúr","n n","flosofið (loðið), teygjanlegt efni sem líkist flaueli"
22306,"hörundssár","adj","viðkvæmur (fyrir orðum, umtali)"
8544,"dreifilinsa","n f","íhvolf linsa sem dreifir ljósgeislum, þynnst í miðjunni"
53348,"safnlinsa","n f","kúpt linsa sem safnar ljósgeislum í einn punkt, þykkust í miðjunni"
8507,"drápa","n f","sérstakt fornt bragform þar sem stef er endurtekið með vissu millibili"
8907,"dvergvaxinn","adj","mjög lítill"
8719,"drykkjuvísa","n f","erindi sem einkum er haft eða sungið við drykkju eða annan gleðskap"
28701,"mjóaleggur","n m","grennsti hluti fótleggjar, næst fyrir ofan ökkla"
28704,"mjóileggur","n m","mjóaleggur"
28703,"mjóhryggur","n m","spjaldhryggur"
34240,"samasemmerki","n n","táknið ="
19004,"hemlunarvegalengd","n f","vegalengdin sem bíll fer frá því stigið er á bremsu þar til hann stöðvast"
8551,"dreifirit","n n","rit, oftast í einföldu formi, sem dreif er til fólks"
47765,"þursabit","n n","sár verkur í mjóbaki"
28117,"megurð","n f","það að vera magur"
41173,"talmál","n n","þau orð, beygingarmyndir eða það málsnið sem tíðkast í tiltölulega óformlegu töluðu máli fremur en í ritmáli"
12536,"forfallakennsla","n f","kennsla í forföllum, þegar fastur kennari er ekki viðstaddur"
12646,"fornafn","n n","orðflokkur með orðum sem beygjast í kyni, tölu og falli, t.d. ég, þú, hann, hún, þessi, sá, hver, hvor, nokkur, annar,  ýmis og sumir "
8223,"djúpberg","n n","kvika sem storknar djúpt í jörðu og myndar grófkristallað berg"
42520,"túndra","n f","votlendi, mýri, sem frost, jarðklaki, hverfur aldrei úr, freðmýri"
12484,"forað","n n","blaut torfæra, for"
17209,"gæsagangur","n m","það að ganga án þess að beygja hnén"
10517,"fangageymsla","n f","fangaklefi á lögreglustöð þar sem handteknir menn eru hýstir um stundarsakir"
53205,"farandsala","n f","verslun utan fastrar starfsstöðvar, þar með taldar hreyfanlegar starfsstöðvar og markaðir"
10466,"fallbeyging","n f","beyging orða í föllum (nefnifalli, þolfalli, þágufalli og eignarfalli), t.d. 'köttur, kött, ketti, kattar'"
10420,"fagnaðarlæti","n npl","háttalag sem sýnir fögnuð og gleði"
22777,"í miðju kafi","adv","í miðri framvindu"
28667,"mitti","n n","grennsti hluti bols á manni"
32667,"rasskinn","n f","vöðvi aftan á rassinum, þjóhnappur"
25085,"kviðslitinn","adj","með kviðslit"
53200,"brottkast","n n","það að kasta brott þeim afla sem sjómenn hafa ekki hag af að koma með að landi"
51138,"bensínlok","n n","lok á bensíntanki bíls"
33408,"ritmál","n n","þau orð, beygingarmyndir eða það málsnið sem tíðkast í tiltölulega formlegu rituðu máli fremur en í talmáli"
41185,"talsmáti","n m","orðbragð, orðfæri"
59281,"utanríkispólitík","n f","stefna stjórnvalda í utanríkismálum"
43741,"utanríkismálanefnd","n f","ein af fastanefndum Alþingis sem sér um mál sem varða aðild Íslands að alþjóðlegum samtökum og stofnunum, útflutningsverslun, þróunarsamvinnu og neyðarhjálp ásamt varnar- og öryggismálum "
29340,"nasismi","n m","stjórnmálastefna sem byggir á hugmyndum um stéttlaust einræðisríki sem byggt er arískum borgurum og lýtur stjórn sterks foringja, einkum um Þýskaland 1933-45 undir stjórn Adolfs Hitlers"
19033,"hentistefna","n f","aðferð við stjórnun sem einkennist af geðþóttaákvörðunum"
58423,"Kvennalistinn","n m","íslenskur stjórnmálaflokkur (Samtök um kvennalista) sem starfaði frá 1983 til 1998"
3166,"Alþýðubandalagið","n n","íslenskur stjórnmálaflokkur sem starfaði frá 1968 til 1995"
37317,"skuldunautur","n m","sá eða sú sem skuldar e-m e-ð, skuldari"
61220,"þakíbúð","n f","íbúð á efstu hæð í fjölbýlishúsi, oft stór og glæsileg"
6996,"broddborgari","n m","karl eða kona úr efri stigum þjóðfélagsins, betri borgari"
45008,"veita","n f","kerfi sem miðlar vatni, rafmagni, gasi o.s.frv."
55350,"legudeild","n f","deild á sjúkrastofnun þar sem sjúklingar dvelja allan sólarhringinn"
25922,"lántökukostnaður","n m","gjöld sem þarf að greiða þegar lán er tekið"
50232,"Belís","n n","ríki í Mið-Ameríku"
13160,"framhaldsnám","n n","áframhaldandi nám eftir að fyrsta háskólaprófi er lokið"
22192,"höfrungahlaup","n n","leikur þar sem sumir þátttakendur standa hálfbognir og aðrir stökkva yfir"
5227,"belgbaun","n f","fersk baun í fræbelg, t.d. strengjabaun"
31987,"persónusköpun","n f","það hvernig persónum er lýst í skáldsögu, leikriti eða kvikmynd"
32754,"rauntekjur","n fpl","kaupmáttur tekna (miðaður við ákveðinn tíma) þegar tekið er tillit til verðlagsþróunar, skatta og þess háttar"
10343,"eyðslusemi","n f","það að vera eyðslusamur"
2403,"aðsog","n n","aðfall öldu í flæðarmálinu"
10614,"farmskrá","n f","viðurkenning skipstjóra á að hafa tekið við tilteknum farmi til flutnings"
10594,"fargan","n n","óstand, vesen, fyrirhöfn"
26148,"lekastraumsrofi","n m","búnaður sem rýfur straum af raflögn ef hún leiðir út"
66463,"heilabilunarsjúkdómur","n m",""
55172,"sykurhúðaður","adj","með sykurhúð"
29501,"námskrafa","n f","nám sem krafa er gerð um að e-r hafi lokið"
59681,"leiðréttur","adj","sem er búið að leiðrétta"
15561,"gjaldskyldur","adj","sem skylda er að greiða gjald af"
20463,"hopp","n n","lítið stökk á sama stað"
23154,"jesúíti","n m","munkur af ákveðinni katólskri reglu"
23142,"járntjald","n n","markalína milli ríkja Austur- og Vestur-Evrópu frá um 1946 til um 1990"
7641,"bæjarlækur","n m","lækur sem rennur við bóndabæ"
55177,"nýsköpunarstjórn","n f","heiti á íslenskri ríkisstjórn 1944-1947 sem vann að því að skapa nýjungar í atvinnulífi landsmanna"
30241,"nýsköpunartogari","n m","togari sem keyptur var á árum nýsköpunarstjórnarinnar 1944-46"
45188,"verkamannaflokkur","n m","stjórnmálaflokkur sem berst fyrir hagsmunum verkamanna"
22925,"jafnaðarmerki","n n","táknið =, samasemmerki"
36099,"skattafsláttur","n m","skattaívilnun af ýmsum ástæðum, t.d. vegna hlutafjárkaupa"
44187,"útsog","n n","útfall öldu í flæðarmálinu"
3168,"Alþýðuflokkurinn","n m","stjórnmálaflokkur sem var málsvari alþýðu og verkalýðshreyfingar "
53202,"dulkóðun","n f","umbreyting orða eða talna í óskiljanlega runu af táknum"
32206,"pólitík","n f","málefni sem varða stjórnun lands og sveitarfélags, stjórnmál"
18874,"heittrúarstefna","n f","hreyfing um bætt trúarlíf innan lútersku kirkjunnar, upprunnin í Þýskalandi á seinni hluta 17. aldar"
6304,"bolabrögð","n npl","aðfarir þar sem beitt er klækjum og ruddaskap"
27289,"lækur","n m","lítið vatnsfall"
41401,"tekjuafgangur","n m","afgangur af tekjum eftir að gjöld hafa verið dregin frá"
11879,"fjörulalli","n m","þjóðsagnaskepna, e-s konar sækind sem leitast við að hrekja menn í sjóinn"
26683,"líming","n f","það að líma; það sem er límt"
9962,"elgur","n m","krapkennd bleyta"
10565,"fararbeini","n m","vistir og búnaður til ferðar"
39780,"straumvatn","n n","vatnsfall, lækur, á eða fljót"
27291,"læna","n f","lítill, straumlygn lækur, síki"
52936,"eldvirkur","adj","þar sem jarðskorpuhreyfingar og kvikumyndun fara saman og eldgos verða"
50236,"Kúveit","n n","ríki í Miðausturlöndum"
11651,"fjármál","n npl","málefni sem varða fjárhag einstaklinga, fyrirtækja, stofnana eða samfélaga"
52937,"láhnit","n n","hnit á X-ási"
9059,"dæmisaga","n f","stutt saga sem oft er með siðferðisboðskap"
31456,"ós","n m","staður á strönd þar sem á fellur til sjávar"
22737,"íðorð","n n","orð sem tilheyrir ákveðnu sérsviði, t.d. læknisfræði, fræðiorð, fagorð"
11424,"fínmalaður","adj","malaður fínt"
17453,"hagsmunatengsl","n npl","það að fjárhagslegir eða persónulegir hagsmunir tveggja eða fleiri aðila tengjast, t.d. af fjölskylduástæðum eða vegna sameignar"
55352,"dauðakippur","n m","kippur í vöðva á dauðastund"
64128,"samskiptaleið","n f","leið til að eiga samskipti, t.d. á netinu í gegnum tölvupóst eða spjallforrit"
36077,"skarpholda","adj","með skarpa drætti, beinaber"
32521,"rafstraumur","n m","flæði rafmagns, mælt í amperum (táknað A)"
40847,"systkini","n npl","börn sama foreldris, annars eða beggja, bróðir og systir"
9936,"eldstöð","n f","staður þar sem eldgos verður, gosstöðvar"
9895,"eldhúsreyfari","n m","afþreyingarskáldsaga með rómantísku innihaldi"
10656,"fastagestur","n m","tíður gestur á sama staðnum"
37046,"skrámaður","adj","með skrámur á hörundi"
43919,"útfall","n n","það þegar sjávarborð lækkar vegna sjávarfalla, það þegar fellur út"
2454,"afbrigðilegur","adj","óeðlilegur, óvanalegur"
55353,"dauðastuna","n f","andvarp á dauðastund"
45607,"viðtengingarháttur","n m","einn af 6 háttum sagna, beygist í tíð, persónu og tölu, táknar oft ákveðinn fyrirvara ('ég gefi, þær gæfu')"
21945,"hvorugkyn","n n","eitt þriggja kynja sem fallorð er í"
48501,"örgeðja","adj","sem skiptir fljótt skapi"
10428,"fagtímarit","n n","tímarit með greinum um ákveðið fag"
10765,"fákunnandi","adj","sem veit lítið um e-ð"
10835,"fátækrahverfi","n n","borgarhluti þar sem fátækt fólk býr við kröpp kjör í lélegu húsnæði"
13310,"framsöguháttur","n m","einn af 6 háttum sagna, beygist í tíð, persónu og tölu ('ég gef, þær gáfu')"
9232,"efsta stig","n n","eitt af 3 stigum í stigbeygingu lýsingarorða og atviksorða"
3807,"aukatenging","n f","samtenging af ákveðnum flokki, t.d. 'af því að', 'enda þótt' "
27966,"málsaga","n f","fræðigrein um sögu og þróun tungumáls"
35244,"siðprýði","n f","það að vera siðprúður"
20776,"hreinlífur","adj","sem stundar ekki kynlíf, skírlífur"
38851,"spurnarfornafn","n n","fornafnið 'hver', 'hvað' o.fl. "
3932,"ábendingarfornafn","n n","fornafnið 'þessi' og 'sá'"
19974,"hljóðfærsla","n f","(stórfelld) breyting á hljóðkerfi tungumáls"
55379,"elliár","n npl","síðustu ár ævinnar"
55359,"giftingardagur","n m","dagur sem par giftir sig"
23240,"jússa","n f","feit og fyrirferðarmikil kona"
18292,"háttaratviksorð","n n","atviksorð sem lýsir á hvaða hátt eða hvernig e-ð er (gert), t.d. 'vel', 'ágætlega' og 'illa'"
36442,"skilyrðissetning","n f","aukasetning sem byrjar á 'ef' (""hann ætlar með okkur ef hann getur"")"
37497,"skýringarsetning","n f","aukasetning sem byrjar á 'að' (""hann segir að borgin sé stór"")"
38853,"spurnarsetning","n f","setning sem byrjar á spurnarorði, t.d. 'hver', 'hvaða' og 'hvenær' (""hver kom í heimsókn?"", ""hvernig er maturinn?"")"
41759,"tilvísunarsetning","n f","tegund aukasetningar, sem byrjar á 'sem' (""blómin sem hún fékk voru rauð"")"
47614,"þrælasali","n m","sá eða sú sem stundar þrælasölu"
5128,"beinabygging","n f","form og lögun beina í líkama manns eða dýrs"
12409,"flæðigos","n n","eldgos þar sem aðeins kemur upp hraun en lítil sem engin gjóska"
11784,"fjölfræðibók","n f","bók með ýmsum fróðleik um tiltekið eða almennt efni"
11786,"fjölfræðirit","n n","bók með ýmsum fróðleik um tiltekið eða almennt efni"
38854,"spurnartenging","n f","samtengingin 'hvort' (við spyrjum hvort hafið sé blátt)"
30796,"orsakartenging","n f","samtengingin 'af því að', 'vegna þess að' (glasið brotnaði af því að það datt)"
19243,"hestaat","n n","bardagi milli hesta sem til þess eru þjálfaðir"
14361,"fyrirgreiðslupólitík","n f","stjórnmálastarfsemi þar sem stundað er að hygla ákveðnum flokksmönnum og kjósendum frekar en  að framfylgja stefnumálum flokksins"
20831,"hrekkvís","adj","gjarn á að hrekkja aðra, hrekkjóttur"
38909,"staðaratviksorð","n n","atviksorð með staðarmerkingu, t.d. 'þar', 'hér', 'víða', 'hvergi' og 'alls staðar'"
